■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2022-01-20,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202101~202101   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2021년 01월,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
1,소울,2021-01-20,"7,936,306,910",50.3%,"7,936,306,910","874,999","874,999","2,018","63,209",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"1,820,102,670",11.5%,"1,820,102,670","206,309","206,309",380,"5,816",일본,일본,워터홀컴퍼니(주)
3,원더 우먼 1984,2020-12-23,"1,445,202,000",9.2%,"4,935,633,460","155,562","546,548","1,877","38,241",미국,미국,워너브러더스 코리아(주)
4,화양연화,2000-10-20,"478,844,570",3.0%,"878,825,270","52,142","100,156",447,"12,472",홍콩,"홍콩,프랑스",(주)디스테이션
5,세자매,2021-01-27,"354,451,240",2.2%,"354,568,240","42,290","42,301",569,"5,876",한국,한국,(주)리틀빅픽쳐스
6,명탐정 코난: 진홍의 수학여행,2021-01-27,"316,132,440",2.0%,"316,132,440","38,131","38,131",532,"4,670",일본,일본,(주)씨제이이엔엠
7,조제,2020-12-10,"210,969,970",1.3%,"1,884,397,540","23,337","209,984",472,"6,316",한국,한국,워너브러더스 코리아(주)
8,아이 엠 우먼,2021-01-14,"177,552,770",1.1%,"186,954,270","21,913","22,918",494,"6,010",호주,호주,(주)팝엔터테인먼트
9,도굴,2020-11-04,"196,004,260",1.2%,"13,960,684,670","21,729","1,545,243",294,"5,027",한국,한국,(주)씨제이이엔엠
10,뱅가드,2020-12-30,"186,606,800",1.2%,"265,893,700","21,166","31,546",265,"4,777",중국,중국,(주)디스테이션
11,블라인드,2021-01-14,"158,532,100",1.0%,"158,532,100","18,297","18,297",239,"4,359",네덜란드,네덜란드,주식회사 컨텐츠썬
12,#아이엠히어,2021-01-14,"135,795,710",0.9%,"135,795,710","16,290","16,290",432,"4,561",프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW)
13,빅풋 주니어2: 패밀리가 떴다,2021-01-06,"121,664,630",0.8%,"121,664,630","14,682","14,682",308,"3,462",기타,기타,(주)이수C&E
14,커넥트,2021-01-20,"125,557,510",0.8%,"125,557,510","14,140","14,140",386,"3,947",미국,미국,(주)이수C&E
15,라라랜드,2016-12-07,"81,359,900",0.5%,"30,954,492,708","11,526","3,753,565",78,"1,451",미국,미국,판씨네마(주)
16,미스터 존스,2021-01-07,"94,595,400",0.6%,"94,675,400","10,727","10,743",277,"3,019",폴란드,폴란드,(주)디오시네마
17,늑대와 춤을,1991-03-31,"83,792,920",0.5%,"84,124,920","9,787","9,897",201,"2,214",미국,미국,"(주)더세컨드웨이브,(주)영화특별시에스엠씨"
18,나는 나를 해고하지 않는다,2021-01-28,"76,303,260",0.5%,"81,496,260","9,660","10,318",313,"1,625",한국,한국,(주)영화사 진진
19,캐롤,2016-02-04,"84,175,840",0.5%,"2,840,746,035","9,649","345,862",275,"1,557",미국,"미국,영국",CGV아트하우스
20,북스마트,2021-01-27,"58,561,900",0.4%,"58,561,900","9,435","9,435",163,"1,658",미국,미국,(주)콘텐츠판다
21,완벽한 가족,2021-01-06,"75,268,460",0.5%,"75,268,460","8,659","8,659",318,"2,978",미국,미국,(주)제이앤씨미디어그룹
22,나이팅게일,2020-12-30,"72,337,140",0.5%,"112,682,610","8,340","13,702",307,"2,574",호주,호주,(주)제이앤씨미디어그룹
23,토이 솔져스: 가짜사나이2 더 컴플리트,2021-01-27,"75,326,300",0.5%,"75,326,300","7,991","7,991",155,"1,856",한국,한국,씨제이포디플렉스 주식회사
24,마이 미씽 발렌타인,2021-01-14,"59,948,070",0.4%,"59,948,070","7,796","7,796",153,"1,759",기타,기타,(주)트리플픽쳐스
25,파힘,2021-01-21,"50,366,700",0.3%,"50,366,700","6,547","6,547",165,"1,502",프랑스,프랑스,(주)디스테이션
26,이웃사촌,2020-11-25,"59,825,790",0.4%,"3,707,723,750","6,518","431,282",143,"1,919",한국,한국,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
27,테넷,2020-08-26,"62,349,320",0.4%,"18,459,279,170","6,271","1,998,485",20,707,미국,미국,워너브러더스 코리아(주)
28,굿바이,2008-10-30,"45,046,240",0.3%,"947,360,520","5,117","149,345",132,"1,311",일본,일본,"(주)드림팩트엔터테인먼트,㈜케이디미디어"
29,걸,2021-01-07,"44,053,510",0.3%,"46,203,510","4,853","5,068",239,"1,995",독일,독일,(주)리틀빅픽쳐스
30,비긴 어게인,2014-08-13,"33,604,320",0.2%,"27,349,926,741","4,842","3,469,686",34,583,미국,미국,판씨네마(주)
31,런,2020-11-20,"42,820,770",0.3%,"2,603,262,370","4,754","283,573",93,"1,171",미국,미국,(주)올스타엔터테인먼트
32,100% 울프: 푸들이 될 순 없어,2020-12-24,"35,529,400",0.2%,"134,490,620","4,732","17,089",152,"1,172",호주,호주,(주)팝엔터테인먼트
33,나이브스 아웃,2019-12-04,"29,680,500",0.2%,"6,903,591,590","4,285","819,091",33,521,미국,미국,(주)올스타엔터테인먼트
34,러브레터,1999-11-20,"36,909,010",0.2%,"973,595,824","4,044","124,893",62,950,일본,일본,"(주)제이앤씨미디어그룹,와이드 릴리즈(주),(유)조이앤시네마,(주)팝엔터테인먼트"
35,모추어리 컬렉션,2021-01-21,"32,241,800",0.2%,"32,241,800","3,767","3,767",115,"1,017",미국,미국,(주)이놀미디어
36,가을의 마티네,2020-12-31,"24,459,260",0.2%,"26,492,370","3,682","4,003",20,351,일본,일본,찬란
37,극장판 바이올렛 에버가든,2020-11-12,"32,255,130",0.2%,"500,241,620","3,623","58,653",47,614,일본,일본,(주)라이크콘텐츠
38,빛의 아버지: 파이널 판타지 XIV,2021-01-14,"33,151,200",0.2%,"33,151,200","3,541","3,541",98,"1,043",일본,일본,(주)디스테이션
39,운디네,2020-12-24,"29,106,630",0.2%,"57,906,020","3,222","6,709",38,690,독일,독일,M&M 인터내셔널
40,타임 패러독스,2015-01-07,"20,605,000",0.1%,"668,206,408","3,030","85,533",33,482,호주,호주,(유)조이앤시네마
41,신과함께-죄와 벌,2017-12-20,"19,855,450",0.1%,"115,727,528,087","2,876","14,414,658",109,"1,311",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
42,사일런싱,2021-01-28,"22,311,180",0.1%,"22,311,180","2,873","2,873",89,352,미국,미국,(주)홈초이스
43,큰엄마의 미친봉고,2021-01-21,"19,344,740",0.1%,"19,344,740","2,802","2,802",67,506,한국,한국,(주)백그림
44,더 시크릿,2021-01-21,"19,534,860",0.1%,"19,534,860","2,796","2,796",72,523,영국,영국,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘"
45,인터스텔라,2014-11-06,"26,047,500",0.2%,"82,837,208,500","2,605","10,326,240",17,206,미국,"미국,영국",워너브러더스 코리아(주)
46,래시 컴 홈,2021-01-07,"15,022,450",0.1%,"15,022,450","2,498","2,498",15,170,독일,독일,찬란
47,관계의 가나다에 있는 우리는,2021-01-28,"17,658,070",0.1%,"19,334,070","2,380","2,620",39,170,한국,한국,(주)시네마달
48,미스터 보스,2020-12-30,"19,805,040",0.1%,"34,516,640","2,313","4,267",162,903,한국,한국,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)"
49,타오르는 여인의 초상,2020-01-16,"18,988,000",0.1%,"1,276,782,838","2,253","151,666",16,203,프랑스,프랑스,"그린나래미디어(주),(주)홈초이스"
50,썸머 85,2020-12-24,"20,002,600",0.1%,"83,488,990","2,200","9,487",82,740,기타,기타,찬란
51,메멘토,2001-08-24,"14,504,000",0.1%,"364,130,800","2,091","48,801",33,407,미국,미국,"(주)디스테이션,(주)팝엔터테인먼트"
52,너의 이름은.,2017-01-04,"14,765,110",0.1%,"30,062,094,896","2,080","3,736,575",26,387,일본,일본,메가박스중앙(주)플러스엠
53,제이티 르로이,2021-01-21,"16,266,700",0.1%,"17,022,700","1,977","2,053",93,714,미국,미국,(주)영화사 빅
54,더 렌탈 : 소리없는 감시자,2020-09-16,"9,759,000",0.1%,"70,053,280","1,951","9,427",15,19,미국,미국,(주)제이앤씨미디어그룹
55,어바웃 타임,2013-12-05,"13,373,000",0.1%,"25,268,846,800","1,928","3,443,585",65,299,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
56,아웃포스트,2020-09-23,"11,751,000",0.1%,"440,284,870","1,923","53,304",7,21,미국,미국,(주)제이앤씨미디어그룹
57,라스트 프론티어,2021-01-14,"10,824,500",0.1%,"10,824,500","1,840","1,840",20,159,러시아,러시아,(주)까멜리아이엔티
58,키드,1989-12-15,"14,873,840",0.1%,"17,251,840","1,641","2,062",34,334,프랑스,프랑스,(주)엣나인필름
59,에이바,2020-09-09,"8,135,000",0.1%,"191,734,250","1,627","25,444",3,11,미국,미국,(주)제이앤씨미디어그룹
60,리플레이,2020-12-16,"11,587,940",0.1%,"103,182,310","1,586","12,692",26,324,미국,미국,(주)다자인소프트
61,노팅 힐,1999-07-03,"10,331,500",0.1%,"545,556,582","1,529","67,035",41,478,미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
62,언플랜드,2020-12-17,"10,945,490",0.1%,"122,032,160","1,430","14,394",31,255,미국,미국,(주)영화사오원
63,폰조,2020-10-14,"8,044,000",0.1%,"219,803,310","1,379","26,762",3,9,미국,미국,(주)키다리이엔티
64,신과함께-인과 연,2018-08-01,"9,677,190",0.1%,"102,687,407,599","1,364","12,277,723",86,631,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
65,"내 어깨 위 고양이, 밥 2",2020-12-24,"11,756,570",0.1%,"55,306,190","1,347","6,378",70,433,영국,영국,(주)영화특별시에스엠씨
66,크루아상,2021-01-21,"11,463,450",0.1%,"11,463,450","1,221","1,221",42,298,한국,한국,하준사
67,내가 죽던 날,2020-11-12,"6,051,000",0.0%,"2,141,447,020","1,210","234,322",4,9,한국,한국,워너브러더스 코리아(주)
68,라이어트: 기계들의 역습,2020-12-23,"6,025,000",0.0%,"11,950,900","1,205","2,278",7,39,미국,미국,(주)노바이앤티
69,럭키 몬스터,2020-12-03,"6,834,270",0.0%,"38,331,580","1,135","5,042",11,72,한국,한국,(주)영화사 그램
70,1917,2020-02-19,"8,201,900",0.1%,"7,932,924,860","1,112","878,129",21,158,미국,미국,(주)스마일이엔티
71,누군가 어디에서 나를 기다리면 좋겠다,2020-12-17,"7,107,700",0.0%,"31,003,550","1,091","4,072",14,139,프랑스,프랑스,(주)영화사 진진
72,800,2020-12-10,"6,330,700",0.0%,"141,698,200","1,076","16,625",13,70,중국,중국,"TCO(주)더콘텐츠온,(주)디스테이션"
73,러브 액츄얼리,2003-12-05,"9,379,310",0.1%,"2,323,516,628","1,033","327,216",36,229,미국,"미국,영국","(주)제이앤씨미디어그룹,와이드 릴리즈(주),UIP코리아,(유)조이앤시네마"
74,족벌 두 신문 이야기,2021-01-01,"7,879,400",0.0%,"9,815,400","1,030","1,272",10,181,한국,한국,(주)엣나인필름
75,다크 나이트,2008-08-06,"10,015,000",0.1%,"28,206,927,040","1,001","4,228,208",1,10,미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
76,438일,2021-01-21,"7,872,810",0.0%,"7,872,810","1,000","1,000",40,289,기타,기타,(주)에스와이코마드
77,고백,2021-02-24,"4,991,000",0.0%,"4,991,000",973,973,9,12,한국,한국,(주)리틀빅픽쳐스
78,마라가 큰 결정을 해야 해,2021-01-07,"7,475,940",0.0%,"7,475,940",856,856,79,494,미국,미국,(주)영화사오원
79,천사는 바이러스,2021-01-06,"6,115,710",0.0%,"6,205,710",816,833,44,357,한국,한국,주식회사 씨엠닉스
80,라빠르망,1997-03-22,"5,251,000",0.0%,"70,884,500",807,"11,759",20,245,프랑스,프랑스,(주)디스테이션
81,요요현상,2021-01-14,"7,695,840",0.0%,"8,576,340",804,930,27,263,한국,한국,영화배급협동조합 씨네소파
82,나의 작은 동무,2021-01-14,"6,526,440",0.0%,"6,526,440",777,777,40,311,기타,기타,(주)라이크콘텐츠
83,어거스트 러쉬,2007-11-29,"4,561,500",0.0%,"14,363,979,500",644,"2,230,516",33,129,미국,미국,"(주)영화사 그램,CJ ENM"
84,원 데이,2012-12-13,"4,379,000",0.0%,"1,694,911,800",633,"227,726",32,129,미국,미국,"(주)영화사 그램,(주)제이앤씨미디어그룹,(주)팝파트너스"
85,부활: 그 증거,2020-10-08,"4,512,500",0.0%,"243,582,320",619,"29,999",3,37,한국,한국,(주)영화사 진진
86,함께 있을 수 있다면,2020-12-24,"4,768,140",0.0%,"15,876,610",612,"2,053",17,161,프랑스,프랑스,(주)영화사 진진
87,추억의 검정고무신,2020-11-19,"5,238,000",0.0%,"162,083,100",582,"20,113",6,6,한국,한국,(주)대교 미디어콘텐츠사업본부
88,귀여운 남자,2021-01-14,"4,376,470",0.0%,"4,376,470",546,546,41,277,한국,한국,(주)드림팩트엔터테인먼트
89,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,2020-10-22,"5,467,110",0.0%,"701,708,430",526,"77,313",3,62,일본,일본,(주)애니플러스
90,스웨그,2020-12-10,"4,561,480",0.0%,"30,300,660",501,"3,214",1,27,한국,한국,(주)영화사오원
91,전쟁,2020-12-30,"3,392,860",0.0%,"4,762,860",496,708,24,191,미국,미국,(주)제이앤씨미디어그룹
92,삼진그룹 영어토익반,2020-10-21,"4,438,400",0.0%,"13,985,852,870",484,"1,571,770",13,115,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
93,덩케르크,2017-07-20,"4,810,000",0.0%,"24,699,211,848",481,"2,805,219",1,6,미국,"미국,영국",워너브러더스 코리아(주)
94,골든맨,2021-01-27,"3,326,600",0.0%,"3,326,600",441,441,25,114,이탈리아,이탈리아,예지림엔터테인먼트
95,베토벤 프로젝트,2020-07-12,"4,650,000",0.0%,"22,589,000",408,"1,459",1,14,독일,독일,(주)케빈앤컴퍼니
96,게임의 법칙: 인간사냥,2021-01-28,"3,011,000",0.0%,"3,011,000",381,381,16,80,한국,한국,(주)제이앤씨미디어그룹
97,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,2020-11-12,"2,502,000",0.0%,"174,741,000",370,"25,985",9,85,영국,영국,와이드 릴리즈(주)
98,레전더리 콘서트: 레너드 번스타인,2021-01-03,"10,132,500",0.1%,"10,132,500",366,366,13,101,독일,독일,(주)케빈앤컴퍼니
99,뮤직 앤 리얼리티,2020-12-23,"3,083,440",0.0%,"13,118,390",350,"1,502",13,119,한국,"한국,미국","(주)미로스페이스,(주)스튜디오 보난자"
100,사라센의 칼,2021-01-14,"3,045,000",0.0%,"3,045,000",348,348,14,110,한국,한국,(주)콘텐츠윙
101,토스카,2020-12-01,"8,075,650",0.1%,"20,175,850",325,684,10,72,이탈리아,이탈리아,일미디어
102,가나의 혼인잔치: 언약,2020-11-26,"2,825,410",0.0%,"120,042,330",323,"13,677",14,125,미국,미국,"(재)CBS,주식회사 블루필름웍스"
103,피아니스트의 마지막 인터뷰,2020-11-19,"2,996,050",0.0%,"70,499,160",321,"8,418",5,63,캐나다,캐나다,판씨네마(주)
104,"오늘, 우리 2",2021-01-21,"2,633,200",0.0%,"2,633,200",317,317,14,104,한국,한국,필름다빈
105,나이트 언데드,2021-01-27,"1,585,000",0.0%,"1,585,000",311,311,20,27,미국,미국,(주)원더스컴퍼니
105,몬스터 헌터,2021-02-10,"5,287,000",0.0%,"5,287,000",311,311,1,1,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
107,내언니전지현과 나,2020-12-03,"2,439,500",0.0%,"22,096,300",306,"2,612",6,89,한국,한국,호우주의보
108,극장판 기븐,2020-11-26,"3,068,980",0.0%,"36,194,770",301,"4,127",3,52,일본,일본,(주)애니플러스
109,선샤인 패밀리,2020-12-31,"2,312,470",0.0%,"3,480,570",281,414,21,102,한국,"한국,필리핀",시네마 뉴원
110,그린랜드,2020-09-29,"2,610,000",0.0%,"2,780,334,520",261,"326,130",3,3,미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
110,장 미쉘 바스키아: 더 레이디언트 차일드,2020-12-09,"2,360,400",0.0%,"7,979,100",261,869,10,143,미국,미국,"해피송,롯데컬처웍스(주)롯데엔터테인먼트"
112,겨울밤에,2020-12-10,"1,972,000",0.0%,"15,727,370",251,"1,916",6,83,한국,한국,㈜인디스토리
113,펀치 드렁크 러브,2003-05-08,"2,485,000",0.0%,"33,415,400",237,"3,741",4,24,미국,미국,콜럼비아트라이스타
114,피델리오,2020-05-31,"2,684,000",0.0%,"14,148,800",236,712,1,14,독일,독일,(주)케빈앤컴퍼니
115,디노소어 어드벤쳐,2021-01-27,"1,718,070",0.0%,"1,718,070",227,227,26,113,미국,미국,(주)제이앤씨미디어그룹
116,글루미 선데이,2000-10-21,"1,839,000",0.0%,"194,025,900",217,"24,864",2,36,독일,독일,(주)팝엔터테인먼트
117,리골레토,2013-09-28,"5,375,500",0.0%,"32,772,500",216,"1,298",7,38,미국,미국,(주) 인스터 글로벌
118,찬실이는 복도 많지,2020-03-05,"1,587,500",0.0%,"252,200,330",211,"29,419",3,47,한국,한국,찬란
119,금의위 3인의 무사,2021-01-21,"941,000",0.0%,"943,000",210,212,20,40,중국,중국,(유)조이앤시네마
120,맥베스,2018-10-07,"4,354,400",0.0%,"35,454,900",205,"1,519",7,32,독일,독일,(주)케빈앤컴퍼니
120,날씨의 아이,2019-10-30,"1,844,120",0.0%,"5,860,088,710",205,"715,049",2,19,일본,일본,"메가박스중앙(주)플러스엠,(주)미디어캐슬,워터홀컴퍼니(주)"
122,밈 전쟁: 개구리 페페 구하기,,"1,780,000",0.0%,"1,885,000",202,217,1,4,미국,미국,주식회사 왓챠
123,돌멩이,2020-10-15,"2,010,000",0.0%,"152,793,400",201,"18,323",1,1,한국,한국,(주)리틀빅픽쳐스
124,인투 더 미러,2021-02-17,"2,000,000",0.0%,"2,000,000",200,200,1,2,캐나다,캐나다,(주)팝엔터테인먼트
125,톰보이,2020-05-14,"1,908,000",0.0%,"281,127,620",198,"31,497",1,5,프랑스,프랑스,(주)영화특별시에스엠씨
126,마틴 에덴,2020-10-29,"1,209,000",0.0%,"143,383,430",197,"15,593",3,49,이탈리아,이탈리아,알토미디어(주)
126,스윙키즈,2018-12-19,"1,993,780",0.0%,"12,096,664,072",197,"1,473,322",1,15,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
128,이 안에 외계인이 있다,2021-02-03,"1,764,000",0.0%,"1,764,000",196,196,2,4,한국,한국,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)"
128,시간의 끝에서 널 기다려,2021-02-17,"1,568,000",0.0%,"1,568,000",196,196,2,4,홍콩,홍콩,(주)디스테이션
128,드림빌더,2021-02-10,"1,764,000",0.0%,"1,764,000",196,196,4,4,기타,기타,(주)트리플픽쳐스
131,워락,,"480,000",0.0%,"15,026,000",192,"7,481",1,11,미국,미국,
132,해리가 샐리를 만났을 때,1989-11-18,"1,768,000",0.0%,"186,284,700",191,"22,804",3,29,미국,미국,"(주)키다리이엔티,콜럼비아 픽쳐스 코포레이션"
133,초대받은 배달부,2021-01-01,"1,066,000",0.0%,"1,066,000",179,179,20,20,한국,한국,선셋 시네마
